Cluster,Editorial,Category,Volume,Issue,Article_Number,Authors,Title
16,,c,8,3,3,Meng Yew Tee & Shuh Shing Lee,Advancing understanding using Nonaka’s model of knowledge creation and problem-based learning
2,,c,8,3,4,Armin Weinberger & Miika Marttunen & Leena Laurinen & Karsten Stegmann,Inducing socio-cognitive conflict in Finnish and German groups of online learners by CSCL script
2,,c,8,3,5,M. Beatrice Ligorio & Fedela Feldia Loperfido & Nadia Sansone,Dialogical positions as a method of understanding identity trajectories in a collaborative blended university course
1,editorial,e,8,4,0,Gerry Stahl & Nancy Law & Friedrich Hesse,Reigniting CSCL flash themes
1,,c,8,4,1,Bertrand Schneider & Roy Pea,Real-time mutual gaze perception enhances collaborative learning and collaboration quality
9,,c,8,4,2,Esra Alagoz,Social argumentation in online synchronous communication
10,,b,8,4,3,Hannie Gijlers & Armin Weinberger & Alieke Mattia van Dijk & Lars Bollen & Wouter van Joolingen,Collaborative drawing on a shared digital canvas in elementary science education: The effects of script and task awareness support
1,,c,8,4,4,Roberto Martinez-Maldonado & Yannis Dimitriadis & Alejandra Martinez-Monés & Judy Kay & Kalina Yacef,Capturing and analyzing verbal and physical collaborative learning interactions at an enriched interactive tabletop
16,editorial,e,9,1,0,Gerry Stahl & Ulrike Cress & Nancy Law & Sten Ludvigsen,Analyzing the multidimensional construction of knowledge in diverse contexts
2,,c,9,1,1,Sue Timmis,The dialectical potential of Cultural Historical Activity Theory for researching sustainable CSCL practices
16,,c,9,1,3,Katerine Bielaczyc & John Ow,Multi-player epistemic games: Guiding the enactment of classroom knowledge-building communities
11,,c,9,1,4,Iassen Halatchliyski & Johannes Moskaliuk & Joachim Kimmerle & Ulrike Cress,Explaining authors’ contribution to pivotal artifacts during mass collaboration in the Wikipedia’s knowledge base
2,editorial,e,9,2,0,Gerry Stahl & Ulrike Cress & Sten Ludvigsen & Nancy Law,Dialogic foundations of CSCL
2,,c,9,2,1,Stefan Trausan-Matu & Mihai Dascalu & Traian Rebedea,PolyCAFe—automatic support for the polyphonic analysis of CSCL chats
2,,c,9,2,2,Benzi Slakmon & Baruch B. Schwarz,Disengaged students and dialogic learning: the role of CSCL affordances
9,,c,9,2,3,Alyssa Friend Wise & Simone Nicole Hausknecht & Yuting Zhao,Attending to others’ posts in asynchronous discussions: Learners’ online “listening” and its relationship to speaking
4,,c,9,2,4,Tanja Engelmann & Richard Kolodziej & Friedrich W. Hesse,Preventing undesirable effects of mutual trust and the development of skepticism in virtual groups by applying the knowledge and information awareness approach
4,editorial,e,9,3,0,Gerry Stahl & Sten Ludvigsen & Nancy Law & Ulrike Cress,CSCL artifacts
16,,c,9,3,1,Crina Damsa,The multi-layered nature of small-group learning: Productive interactions in object-oriented collaboration Crina I. Damşa
3,,b,9,3,2,Maarten Overdijk & Wouter van Diggelen & Jerry Andriessen & Paul A. Kirschner,How to bring a technical artifact into use: A micro-developmental perspective
14,,c,9,3,3,Heisawn Jeong & Cindy E. Hmelo-Silver & Yawen Yu,An examination of CSCL methodological practices and the influence of theoretical frameworks 2005–2009
14,,c,9,3,4,Kai-Yu Tang & Chin-Chung Tsai & Tzu-Chiang Lin,Contemporary intellectual structure of CSCL research (2006–2013): a co-citation network analysis with an education focus
4,editorial,e,9,4,0,Gerry Stahl & Nancy Law & Ulrike Cress & Sten Ludvigsen,Analyzing roles of individuals in small-group collaboration processes
1,,c,9,4,1,Bertrand Schneider & Roy Pea,Toward collaboration sensing
4,,c,9,4,2,Emma M. Mercier & Steven E. Higgins & Laura da Costa,Different leaders: Emergent organizational and intellectual leadership in children’s collaborative learning groups
16,,c,9,4,3,H. Smith Risser & SueAnn Bottoms,“Newbies” and “Celebrities”: Detecting social roles in an online network of teachers via participation patterns
2,,c,9,4,4,Michelle E. Jordan & An-Chih Janne Cheng & Diane Schallert & Kwangok Song & SoonAh Lee & Yangjoo Park,“I guess my question is”: What is the co-occurrence of uncertainty and learning in computer-mediated discourse?
6,editorial,e,10,1,0,Sten Ludvigsen & Gerry Stahl & Nancy Law & Ulrike Cress,From the editors: Collaboration and the formation of new knowledge artifacts
6,,b,10,1,1,Noel Enyedy & Joshua A. Danish & David DeLiema,Constructing liminal blends in a collaborative augmented-reality learning environment
12,,c,10,1,2,Andrea Forte,The new information literate: Open collaboration and information production in schools
6,,c,10,1,3,Pryce Davis & Michael Horn & Florian Block & Brenda Phillips & E. Margaret Evans & Judy Diamond & Chia Shen,BWhoa! We’re going deep in the trees!^: Patterns of collaboration around an interactive information visualization exhibit
2,,c,10,1,4,Yun Wen & Chee-Kit Looi & Wenli Chen,Appropriation of a representational tool in a second-language classroom
4,editorial,e,10,2,0,Gerry Stahl & Friedrich Hesse,"The core features of CSCL: Social situation, collaborative knowledge processes and their design"
