year,volume,issue,article_number,editorial,authors,title
2009,4,4,1,,Johann Ari Larusson & Richard Alterman,Wikis to support the “collaborative” part of collaborative learning
2009,4,4,2,,David Birchfield & Colleen Megowan-Romanowicz,Earth science learning in SMALLab: A design experiment for mixed reality
2009,4,4,3,,Gustav Lymer & Jonas Ivarsson & Oskar Lindwall,Contrasting the use of tools for presentation and critique: Some cases from architectural education
2009,4,4,4,,Seiji Isotani & Akiko Inaba & Mitsuru Ikeda & Riichiro Mizoguchi,An ontology engineering approach to the realization of theory-driven group formation
2010,5,1,0,editorial,Gerry Stahl & Friedrich Hesse,The CSCL field matures
2010,5,1,1,,Daniel D. Suthers & Nathan Dwyer & Richard Medina & Ravi Vatrapu,"A framework for conceptualizing, representing, and analyzing distributed interaction"
2010,5,1,2,,Oliver Scheuer & Frank Loll & Niels Pinkwart & Bruce M. McLaren,Computer-supported argumentation: A review of the state of the art
2010,5,1,3,,Eva Mary Bures & Philip C. Abrami & Richard F. Schmid,Exploring whether students’ use of labelling depends upon the type of activity
2010,5,1,4,,Marc Clarà & Teresa Mauri,Toward a dialectic relation between the results in CSCL: Three critical methodological aspects of content analysis schemes
2010,5,2,0,editorial,Gerry Stahl & Friedrich Hesse,A prism of CSCL research
2010,5,2,1,,Andri Ioannidou & Alexander Repenning & David Webb & Diane Keyser & Lisa Luhn & Christof Daetwyler,Mr. Vetro: A Collective Simulation for teaching health science
2010,5,2,2,,Goran Karlsson,Animation and grammar in science education: Learners’ construal of animated educational software Göran Karlsson
2010,5,2,3,,Joerg M. Haake & Hans-Rüdiger Pfister,Scripting a distance-learning university course: Do students benefit from net-based scripted collaboration?
2010,5,2,4,,Julia Gressick & Sharon J. Derry,Distributed leadership in online groups
2010,5,2,5,,Manoli Pifarre & Ruth Cobos,Promoting metacognitive skills through peer scaffolding in a CSCL environment
2010,5,3,0,editorial,Gerry Stahl,Guiding group cognition in CSCL
2010,5,3,1,,Christa S. C. Asterhan & Baruch B. Schwarz,Online moderation of synchronous e-argumentation
2010,5,3,2,,Jingyan Lu & Susanne P. Lajoie & Jeffrey Wiseman,Scaffolding problem-based learning with CSCL tools
